DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P23S2R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
6441;2;73;73449;1; ;1;1;66;1;3;2;1;1;6;4;4;3;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6; ;20;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;5; ;1;1;2;2;2;2;2;2;2;15;15; ; ; ; ; ; ; ;2; ;1;2;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6442;2;19;19392;1; ;1;1;59;1;3;1;1;1;6;2;2;3;4;4;2;2;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;30;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;1; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
6443;2;76;76122;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;32;1; ;1; ; ; ; ;1
6444;2;13;13430;1;01;1;1;40;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;1;3; ;10;0;4;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;1;1; ;1;1;1;2;1;1;2;1;1;15;15;15; ;40;20; ;40;35;9;3;2; ; ; ; ; ; ; ; ; ; ;2;2;1;1;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6445;2;73;73449;1; ;1;1;43;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;6;0;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;5; ;1;1;1;2;2;2;2;2;2;15;15;15; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6446;2;17;17174;1; ;1;1;27;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ;1; ; ; ; ; ; ; ; ;1;1; ;2;2;2;2;2; ; ; ; ; ;2;7; ;14;0;4;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;19; ; ; ;6;3;2; ; ; ; ; ; ; ; ; ; ;1;1;2;1;2;2;2; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6447;2;73;73449;1; ;1;1;33;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ;1;3;1; ;2;2;2;2;2; ; ; ; ; ;1;1; ;26;0;2;1; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ;1;2;8;1; ;2;1;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6448;2;73;73449;1; ;1;1;37;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;4;0;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;9; ;2;1;1;1;2;2;2;2;2; ;15;15;16; ; ; ; ; ;3; ;1;2;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6449;2;73;73449;1; ;1;1;49;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;6;3;2;1; ;1;2;2;2;2;2;1;1; ; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
6450;2;73;73449;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;33;1; ; ; ; ; ; ;1
6451;2;86;86001;1; ;1;1;34;2;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;5;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;8; ;2;2;1;2;2;1;2;2;2; ; ;15; ; ;26; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6452;2;73;73449;1; ;1;1;41;2;3;2;1;1;6;4;4;4;4;4;4;4;3;4;1; ; ; ;1; ; ; ; ; ; ;1;1; ;2;2;2;2;2; ; ; ; ; ;2;7; ;30;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;1;1;1;1;2;1;2;2;2;15;15;16;20; ;20; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6453;2;76;76122;1; ;1;1;57;1;3;2;1;1;6;4;4;4;3;2;4;2;4;2;1; ; ; ; ; ; ; ; ; ;1;1;1; ;2;2;2;2;2; ; ; ; ; ;2;7; ;30;0;9;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;2; ;2;1;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6454;2;73;73449;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;39; ; ;1;1; ; ; ;1
6455;2;17;17174;1; ;1;1;45;1;2;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;16;0;4;3; ;1;2;2;2;2;2;1;1;1; ; ; ; ; ; ;1;3;2; ;2;2;1;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6456;2;76;76122;1; ;1;1;53;2;3;1;1;1;6;4;4;3;2;3;2;3;3;3;1; ;1; ; ; ; ; ; ; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;3;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;5; ;1;2;2;2;2;2;2;2;2;25; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6457;2;73;73449;1; ;1;1;27;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;2;2;1; ; ;2;1; ;17;0;1;1; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;3;9; ;1;1;1;2;1;1;2;1;1;16;15;16; ;18;18; ;18;19;3;3;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;1; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6458;2;76;76122;1; ;1;1;52;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;20;0;2;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;5; ;2;2;1;2;2;2;2;2;2; ; ;18; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6459;2;73;73449;1; ;1;1;23;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;6;1;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;1; ;1;1;1;2;2;1;2;2;2;15;15;15; ; ;17; ; ; ;3;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;4; ; ; ; ; ; ; ; ; ;1
6460;2;73;73449;1; ;1;1;24;1;3;2;1;1;6;4;4;4;4;4;4;2;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;14;1;1;1; ;1;2;2;2;2;2;1;1;1; ; ; ; ; ; ;1;4;1; ;1;2;1;2;2;2;2;2;2;15; ;15; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6461;2;17;17174;1; ;1;1;25;1;3;1;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;9;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1; ;2;2;1;2;2;1;2;2;2; ; ;15; ; ;18; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ;2;1;2;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6462;2;63;63594;1; ;1;1;41;2;3;2;1;1;6;4;4;4;4;2;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2; ; ;1; ; ;1;7; ;15;0;1;9; ;2;1;2;2;2;1;6; ;1; ; ; ; ; ; ;1;7;4; ;1;2;2;2;2;1;2;2;2;27; ; ; ; ;27; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;1;1;2;1;2;1; ;1;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
6463;2;63;63594;1; ;1;1;42;1;3;2;1;1;6;4;4;4;4;1;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;2;0;1;1; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;2;9; ;1;2;2;1;2;2;2;2;2;41; ; ;41; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6464;2;17;17174;1; ;2;1;54;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;8;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;4; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;35; ; ; ;6;4;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6465;2;41;41298;1; ;1;1;28;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;17;0;1;1; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;2;1; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;1;1;2; ; ; ; ; ; ;1; ; ;2;2;1;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6466;2;86;86865;1; ;1;1;59;1;3;2;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;11; ;5;6;4;9; ;2;2;1;2;2;1;3; ;1; ; ; ; ; ; ;1;2;1; ;1;2;2;2;2;2;2;2;2;24; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
6467;2;86;86865;1; ;1;1;72;1;3;2;1;1;6;3;3;4;3;4;3;3;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;1;0;4;8; ;2;1;2;2;2;1;6;1;1; ; ; ; ; ; ;1;2;4; ;1;1;2;2;2;2;2;2;2;25;25; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;1; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6468;2;86;86865;1; ;2;1;64;1;3;2;1;1;6;4;3;4;4;4;3;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;11; ;7;0;2;9; ;2;1;1;2;2;2;3; ;1; ; ; ; ; ; ;2;8;9; ;1;1;2;1;2;2;2;2;2;22;22; ;40; ; ; ; ; ;4; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6469;2;05;05842;1; ;1;1;75;2;3;1;1;1;6;3;4;3;4;4;2;4;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1; ;2; ; ;1;7; ;17;0;7;8; ;2;1;1;2;2;2;2;1; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6470;2;13;13430;1;01;1;1;51;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;30;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;1; ;1;2;2;2;2;1;2;2;2;15; ; ; ; ;15; ; ; ;1;3;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6471;2;17;17174;1; ;1;1;40;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;27;6;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;4; ;2;1;2;2;2;1;2;2;2; ;15; ; ; ;16; ; ; ;2;3;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6472;2;13;13430;1;01;1;1;24;2;3;2;1;1;6;4;4;3;4;4;4;4;4;3;1; ;1; ; ; ; ; ; ; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;9;0;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;8; ;1;1;2;2;1;1;2;2;2;15;15; ; ;15;15; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;1;1;2;2;2;1; ;1;1;1;1;1;5; ; ; ; ; ; ; ; ; ;1
6474;2;13;13430;1;01;1;1;30;1;5;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;10;0;7;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;1;5; ;1;2;2;2;2;1;2;2;2;15; ; ; ; ;15; ; ; ;6;3;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6475;2;13;13430;1;01;1;1;45;1;5;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;20;0;4;9; ;2;1;2;2;2;2;2; ;1; ; ; ; ; ; ;2;1;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;3;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;1; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ;1
6476;2;73;73449;1; ;1;1;21;1;3;2;1;1;6;4;4;4;4;4;4;4;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2; ; ; ; ;2;1; ;11;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2;2;2; ;2;1;1;1;1;1; ; ; ; ; ; ; ; ; ;1
6477;2;73;73449;1; ;1;1;56;1;3;2;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2; ; ; ; ;2;5; ;20;0;11;1; ;1;2;2;2;2;2;1;1;1;1; ; ; ; ; ;1;2;1; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ;1; ;2;2;2;2;2;2;2; ;2;2;2;2;2;4; ; ; ; ; ; ; ; ; ;1
6478;2;05;05842;1; ;1;1;60;1;3;1;1;1;6;4;3;4;3;4;3;3;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1; ; ; ; ;1;7; ;8;0;6;9; ;1;2;2;2;2;2;1; ;1; ; ; ; ;1; ;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6479;2;73;73449;1; ;2;1;31;1;3;2;1;1;6;4;4;3;4;4;3;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;15;0;4;9; ;2;1;2;2;2;2;2; ; ;1; ; ; ; ;1;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6480;2;54;54874;1; ;1;1;33;1;3;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;6;4;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;1; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6481;2;54;54874;1; ;1;1;54;2;3;3;1;1;6;4;4;2;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;5;4;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;5;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6482;2;17;17380;1; ;1;1;45;1;3;2;1;1;6;4;4;4;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;31;5;2;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;1;1;2;2;2;2;2;2;2;36;30; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6484;2;05;05209;1; ;1;1;63;1;3;2;1;1;6;4;4;4;2;4;4;2;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6; ;7;0;4;9; ;2;2;1;2;2;2;3; ; ; ;1; ; ; ; ;1;2;4; ;2;2;2;1;2;2;2;2;2; ; ; ;59; ; ; ; ; ;4; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
6486;2;54;54874;1; ;1;1;60;1;3;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;3;5;6; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;5;4; ;1;2;2;2;2;2;2;2;2;35; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6491;2;25;25430;1; ;1;1;72;1;3;2;1;1;6;4;4;4;4;4;2;4;4;3;1; ; ; ; ; ; ; ; ; ;1;1;1; ;2;2;2;2;2; ; ; ; ; ;2;5; ;10;0;4;9; ;2;2;1;2;2;2;3;1; ; ; ; ; ; ; ;1;2;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1; ; ;2;2;1;1;1;2;2; ;2;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
6494;2;54;54874;1; ;1;1;28;1;3;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;6;5;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;4; ;1;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6495;2;17;17380;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;32; ; ; ;1; ; ; ;1
6496;2;54;54874;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;70; ; ; ;1; ; ; ;1
6498;2;86;86001;1; ;1;1;32;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;3;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;1;2;1;1;1;2;2;2; ;15; ;16;19;20; ; ; ;5;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
6500;2;54;54810;1; ;1;1;32;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;1;11;7;9; ;2;1;2;2;2;2;2; ;1; ; ; ; ; ; ;2;8;4; ;1;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
6501;2;17;17174;1; ;1;1;50;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;2; ;2;4;2;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;1;1;2;2;1;2;2;2; ;15;15; ; ;18; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
